FIPS,ARIMA
48267,
48269,
48271,
48273,
48275,
48277,
48279,
48281,
48283,
48285,
48287,
48289,
48291,
48293,
48295,
48297,
48299,
48301,
48303,
48305,
48307,
48309,
48311,
48313,
48315,
48317,
48319,
48321,
48323,
48325,
48327,
48329,
48331,
48333,
48335,
48337,
48339,
48341,
48343,
48345,
48347,
48349,
48351,
48353,
48355,
48357,
48359,
48361,
48363,
48365,
48367,
48369,
48371,
48373,
48375,
48377,2021-12-07
48379,
48381,
48383,
48385,
48387,
48389,
48391,
48393,
48395,
48397,
48399,
48401,
48403,
48405,
48407,
48409,
48411,
48413,
48415,
48417,
48419,
48421,
48423,
48425,
48427,
48429,
48431,
48433,
48435,
48437,
48439,
48441,
48443,
48445,
48447,
48449,
48451,
48453,
48455,
48457,
48459,
48461,
48463,
48465,
48467,
48469,
48471,
48473,
48475,
48477,
48479,
48481,
48483,
48485,
48487,
48489,
48491,
48493,
48495,
48497,
48499,
48501,
48503,
48505,
48507,
49001,
49003,
49005,
49007,
49009,
49011,2022-12-13
49013,
49015,2023-08-10
49017,
49019,2022-08-31
49021,2023-11-12
49023,
49025,2023-06-06
49027,
49029,
49031,
49033,
49035,2022-09-27
49037,
49039,
49041,
49043,2021-12-30
49045,2022-12-08
49047,
49049,
49051,2023-03-26
49053,
49055,
49057,
50001,2022-06-13
50003,2024-03-14
50005,2023-04-29
50007,2022-03-07
50009,2023-06-29
50011,
50013,2022-01-02
50015,2022-06-05
50017,2023-03-09
50019,2023-02-25
50021,2022-04-09
50023,2022-07-21
50025,2022-04-06
50027,2023-07-18
51001,2022-05-31
51003,
51005,
51007,
51009,
51011,
51013,
51015,
51017,
51019,
51021,
51023,
51025,
51027,
51029,
51031,
51033,
51035,
51036,
51037,
51041,
51043,
51045,
51047,
51049,
51051,
51053,
51057,
51059,2022-07-11
51061,
51063,
51065,
51067,
51069,
51071,
51073,2022-10-19
51075,
51077,
51079,
51081,
51083,
51085,
51087,
51089,
51091,2022-09-16
51093,
51095,
51097,
51099,
51101,
51103,
51105,2024-02-24
51107,
51109,
51111,
51113,
51115,2023-02-01
51117,
51119,2023-06-20
51121,
51125,
51127,
51131,
51133,
51135,
51137,
51139,
51141,
51143,
51145,
51147,
51149,
51153,2022-05-17
51155,
51157,
51159,
51161,
51163,
51165,
51167,
51169,
51171,
51173,
51175,
51177,
51179,
51181,
51183,
51185,
51187,
51191,
51193,
51195,
51197,
51199,
51510,
51520,2022-06-22
51530,
